,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,格力地产,600185,地产,104.72,0.31%,-0.31%,4.92,1.86%,6.6,1.50%,6.94,1.35,-29.10%,47.70%,0.79年,回售中,4.20%,3.00%,4.3,1.56%,0.10%,1.26%,回售中,回售中,103,70.89,101.25,1.16,102.41,2.30%,70%,50%,16%,0,-0.6,0.32,AA,6.00%,2
2,电气转债,113008,上海电气,601727,能源电力,121,-0.39%,0.13%,6.17,-0.32%,663,9.10%,5.19,1.6,18.90%,1.80%,1.89年,回售中,6.60%,7.80%,59.9,-5.81%,-6.55%,-5.96%,回售中,回售中,103,118.88,100.41,22.74,123.14,-1.70%,50%,14%,16%,0.79,1.19,0.42,AAA,4.00%,15
3,航信转债,110031,航天信息,600271,计算机及应用,117.8,0.60%,-0.45%,30.22,1.75%,28,1.00%,42.38,5.67,-28.70%,65.20%,2.25年,0.25年,4.30%,3.00%,24,-3.05%,-3.84%,-3.21%,-35.00%,-35.70%,100.11,71.31,100.86,1.17,102.04,15.40%,56%,56%,17%,0.09,-2.59,3.02,AAA,4.00%,9
4,蓝标转债,123001,蓝色光标,300058,传媒娱乐,136.91,-1.79%,4.44%,5.99,2.92%,450,37.90%,4.31,2.08,39.00%,-1.50%,2.77年,0.77年,6.60%,9.20%,8.7,-7.30%,-7.98%,-7.44%,-27.70%,-28.00%,97.98,138.98,99.53,44.55,144.08,-5.00%,39%,17%,17%,0.91,1.93,-0.02,AA,4.20%,72
5,三一转债!,110032,三一重工,600031,机械装备制造,160.82,4.43%,0.64%,11.76,5.19%,294,14.40%,7.25,3.06,62.20%,-0.90%,2.81年,0.81年,1.40%,2.20%,13,-12.90%,-13.30%,-13.00%,-35.80%,-36.40%,100.54,162.21,97.79,68.01,165.8,-3.00%,29%,<2%,17%,0.98,1.63,0.38,AA+,4.00%,9
6,国贸转债,110033,厦门国贸,600755,交通运输,112.93,0.89%,-0.96%,8.58,-0.12%,18,1.10%,8.61,1.26,-0.30%,13.30%,2.82年,0.82年,9.40%,9.30%,14.6,-0.59%,-1.30%,-0.73%,-10.20%,-10.50%,97.44,99.65,98.49,12.5,110.99,1.80%,34%,18%,15%,0.57,0.13,1,AA+,4.40%,4
7,九州转债,110034,九州通,600998,医药,111.59,1.80%,-1.65%,16.25,0.43%,28,1.70%,18.42,2.07,-11.80%,26.50%,2.84年,0.84年,4.90%,4.30%,15,-0.38%,-1.05%,-0.51%,-6.91%,-7.59%,99.14,88.22,97.13,7.49,104.62,6.70%,28%,25%,15%,0.35,-0.97,1.71,AA+,4.60%,4
8,广汽转债,113009,广汽集团,601238,汽车,111.2,1.08%,-1.08%,11.95,0.00%,30,1.10%,14.74,1.62,-18.90%,37.20%,2.86年,0.86年,2.10%,1.70%,25.5,-0.70%,-1.28%,-0.82%,-8.27%,-8.58%,97.73,81.07,97.57,3.75,101.33,9.70%,34%,33%,15%,0.23,-1.53,2.08,AAA,4.00%,9
9,顺昌转债,128010,澳洋顺昌,2245,交通运输,104.003,0.88%,-0.88%,5.52,-0.18%,8.4,1.60%,9.28,2.05,-40.50%,74.80%,2.86年,0.86年,9.40%,5.60%,5.1,2.40%,1.66%,2.25%,-2.00%,-2.35%,95.97,59.48,94.4,1.93,96.34,8.00%,43%,43%,17%,0.01,-1.46,1.52,AA,6.00%,15
10,辉丰转债,128012,辉丰股份,2496,石油天然气化工,95.78,0.60%,-0.60%,2.99,-0.33%,21,2.60%,7.71,1.3,-61.20%,147%,3年39天,1年39天,18.70%,7.30%,8.5,3.58%,3.14%,3.49%,7.79%,6.91%,96.67,38.78,86.78,10.8,97.57,-1.80%,86%,<2%,17%,0,0.37,-0.35,A+,7.00%,77
