,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,104.28,-0.23%,0.23%,4.76,-3.25%,6.2,1.40%,6.94,1.31,-31.40%,52.00%,0.78年,回售中,4.30%,3.00%,4.3,2.11%,0.64%,1.82%,回售中,回售中,103,68.59,101.28,1.72,103,1.20%,70%,49%,16%,0,-0.43,0.24,AA,6.00%,2
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,118.39,-0.84%,-1.18%,5.86,-2.82%,56,0.80%,5.19,1.52,12.90%,4.90%,1.89年,回售中,6.90%,7.80%,59.9,-4.73%,-5.48%,-4.88%,回售中,回售中,103,112.91,100.43,17.93,118.36,0.00%,50%,15%,16%,0.71,0.76,0.68,AAA,4.00%,14
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,110.2,-4.05%,3.90%,27.98,-3.18%,124,4.60%,42.38,5.25,-34.00%,66.90%,2.24年,0.24年,4.60%,3.00%,24,-0.08%,-0.91%,-0.25%,-20.10%,-20.90%,100.13,66.02,100.89,0.62,101.5,8.60%,56%,56%,17%,0.05,-1.53,1.67,AAA,4.00%,8
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,127.8,-4.54%,0.11%,5.51,-5.16%,115,13.90%,4.31,1.91,27.80%,0.00%,2.76年,0.76年,5.30%,6.70%,6.3,-4.95%,-5.65%,-5.09%,-22.10%,-22.40%,97.92,127.84,99.3,34.69,133.99,-4.60%,40%,<2%,17%,0.86,1.76,0.04,AA,4.30%,71
5,三一转债!,110032,2016-01-18,三一重工,600031,机械装备制造,159.85,-0.09%,1.37%,11.66,1.30%,331,21.40%,7.25,3.04,60.80%,-0.60%,2.81年,0.81年,1.00%,1.70%,9.7,-12.70%,-13.20%,-12.80%,-35.60%,-36.20%,100.56,160.83,97.81,66.61,164.42,-2.80%,29%,<2%,17%,0.98,1.58,0.42,AA+,4.00%,8
6,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,111.15,-0.90%,1.23%,8.5,0.59%,60,3.70%,8.61,1.25,-1.30%,12.60%,2.81年,0.81年,9.50%,9.30%,14.6,-0.02%,-0.74%,-0.16%,-8.71%,-9.02%,97.46,98.72,98.48,11.96,110.44,0.60%,34%,20%,15%,0.55,0.33,0.78,AA+,4.40%,4
7,九州转债,110034,2016-01-29,九州通,600998,医药,109.74,0.00%,1.07%,16.47,2.94%,14,0.80%,18.42,2.1,-10.60%,22.70%,2.84年,0.84年,4.80%,4.30%,15,0.21%,-0.46%,0.08%,-5.39%,-6.08%,99.18,89.41,97.19,8.01,105.21,4.30%,27%,26%,15%,0.37,-0.54,1.28,AA+,4.60%,4
8,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,110.98,-0.20%,-0.16%,11.54,-1.79%,17,0.60%,14.74,1.57,-21.70%,41.80%,2.86年,0.86年,2.20%,1.70%,25.5,-0.64%,-1.22%,-0.75%,-8.14%,-8.44%,97.75,78.29,97.59,2.93,100.52,10.40%,35%,34%,15%,0.2,-1.67,2.17,AAA,4.00%,6
9,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,102.501,-0.51%,0.51%,5.06,-5.07%,2.7,0.50%,9.28,1.88,-45.50%,88.00%,2.86年,0.86年,10.30%,5.60%,5.1,2.93%,2.19%,2.78%,-0.61%,-0.96%,95.97,54.53,94.37,1.89,96.26,6.50%,43%,43%,17%,0,-1.22,1.23,AA,6.00%,16
10,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,95.357,-0.42%,0.42%,2.72,-5.56%,14,1.70%,7.71,1.18,-64.70%,170%,3年37天,1年37天,20.60%,7.30%,8.5,3.74%,3.30%,3.65%,8.20%,7.32%,96.71,35.28,86.81,10.78,97.59,-2.30%,85%,<2%,17%,0,0.47,-0.43,A+,7.00%,78
11,海印转债,127003,2016-07-01,海印股份,861,商业零售,107.09,3.13%,-4.04%,2.91,-2.68%,134,11.20%,3.5,2.01,-16.90%,28.80%,3.23年,1.23年,17.50%,14.60%,11.1,2.08%,1.26%,1.92%,-2.90%,-3.27%,95.66,83.14,97.02,6.83,103.85,3.10%,26%,16%,16%,0.34,-0.51,1.2,AA,5.30%,98
12,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,96.9,-0.06%,0.06%,3.7,-4.15%,22,1.90%,9.98,1.26,-62.90%,161%,3.37年,1.37年,26.00%,9.60%,12,4.57%,3.85%,4.42%,3.94%,3.56%,94.04,37.07,92.64,2.46,95.1,1.90%,36%,36%,16%,0,-0.37,0.36,AA,6.00%,76
13,光大转债,113011,2017-07-18,光大银行,601818,金融,113.73,-0.04%,-0.39%,4.13,-0.72%,146,0.40%,4.13,0.78,0.00%,13.70%,4年2天,无权,13.80%,13.80%,300,-0.89%,-1.34%,-0.98%,无权,无权,无权,100,94.17,19.35,113.52,0.20%,18%,17%,16%,0.59,0.58,0.62,AAA,4.00%,24
14,骆驼转债,113012,2017-07-18,骆驼股份,601311,汽车,110.25,-5.78%,-1.65%,14.32,-9.99%,201,27.70%,13.44,2.18,6.50%,3.50%,4年9天,2年9天,5.30%,5.60%,6.4,-0.22%,-0.65%,-0.31%,-3.06%,-3.32%,93.63,106.55,91.85,25.11,116.95,-5.70%,34%,<2%,16%,0.74,1.75,-0.17,AA,4.50%,20
