,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N苏银转,110053,今日上市,江苏银行,600919,金融,109.14,9.14%,0.00%,7.25,0.42%,"10,798",49.50%,7.9,0.84,-8.20%,91.77,18.90%,5.95年,无权,23.90%,21.90%,200,1.55%,0.97%,1.43%,无权,无权,无权,95.02,21.01,116.03,-5.90%,25%,<2%,18%,0.49,1.79,-0.67,AAA,4.00%,19
2,浙商转债,113022,2019-03-28,浙商证券,601878,金融,119.56,3.97%,2.26%,12.71,9.76%,663,16.20%,12.53,3.1,1.40%,101.44,17.90%,5.94年,无权,8.30%,8.40%,35,-1.42%,-1.72%,-1.48%,无权,无权,无权,87.48,28.38,115.86,3.20%,50%,26%,18%,0.64,0.02,1.25,AAA,4.00%,27
3,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,127.4,-0.48%,-1.89%,49.75,-2.83%,340,26.80%,40.52,7.11,22.80%,122.78,3.80%,5.94年,3.94年,4.90%,6.00%,10,-1.26%,-1.79%,-1.37%,-4.91%,-5.07%,87.39,92.41,40.67,133.08,-4.30%,46%,<2%,16%,0.84,1.45,0.28,AA,4.30%,20
4,视源转债,128059,2019-04-02,视源股份,2841,电子,124.2,0.75%,-1.61%,78.88,-1.15%,79,6.90%,76.25,16.08,3.40%,103.45,20.10%,5.94年,3.94年,1.80%,1.90%,9.4,-1.41%,-1.83%,-1.50%,-4.31%,-4.48%,86.76,88.39,27.7,116.1,7.00%,56%,25%,16%,0.75,-1.02,2.59,AA,4.50%,15
5,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,115.55,-0.30%,1.61%,10.17,1.60%,90,13.60%,8.9,2.2,14.30%,114.27,1.10%,5.92年,3.92年,10.80%,12.30%,5.8,0.30%,-0.22%,0.20%,-2.55%,-2.73%,87.27,91.3,34.41,125.7,-8.10%,74%,<2%,16%,0.82,2.17,-0.39,AA-,4.50%,36
6,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,129.91,-0.12%,-1.33%,11.06,-1.69%,119,5.70%,8.13,2.67,36.00%,136.04,-4.50%,5.92年,3.92年,13.90%,18.90%,16,-1.50%,-2.04%,-1.61%,-5.28%,-5.46%,88.55,94.04,51.65,145.69,-10.80%,41%,<2%,16%,0.86,3.26,-1.19,AA+,4.10%,32
7,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,124.1,0.80%,1.32%,16.49,2.55%,27,1.80%,13.62,5.14,21.10%,121.07,2.50%,5.92年,3.92年,6.60%,8.00%,12,-0.82%,-1.35%,-0.93%,-4.32%,-4.48%,87.4,92.4,39.23,131.63,-5.70%,52%,<2%,16%,0.83,1.75,0,AA,4.30%,19
8,中信转债,113021,2019-03-19,中信银行,601998,金融,109.11,-0.85%,1.04%,6.39,0.47%,261,0.60%,7.45,0.78,-14.20%,85.77,27.20%,5.92年,无权,12.80%,11.00%,400,1.53%,0.95%,1.41%,无权,无权,无权,94.97,16.37,111.35,-2.00%,23%,17%,17%,0.41,0.87,0,AAA,4.00%,34
9,富祥转债,123020,2019-03-29,富祥股份,300497,医药,119.899,-0.04%,-1.68%,22.46,-2.05%,70,13.90%,18.05,4.61,24.40%,124.43,-3.60%,5.91年,3.91年,8.30%,10.40%,4.2,0.17%,-0.44%,0.05%,-3.37%,-3.57%,87.83,94.43,41.72,136.15,-11.90%,64%,<2%,16%,0.84,3.23,-1.19,AA-,4.40%,37
10,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,113.32,-0.46%,-0.12%,26.1,-0.76%,11,1.50%,24.18,2.84,7.90%,107.94,5.00%,5.91年,3.91年,13.60%,14.70%,6.3,0.72%,0.18%,0.61%,-2.01%,-2.21%,87.08,90.97,31.43,122.41,-7.40%,57%,<2%,17%,0.75,1.85,-0.23,AA-,4.60%,25
