,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N伊力转,110055,2019-04-04,伊力特,600197,食品饮料,130.57,30.60%,0.00%,21.72,1.26%,722,64.50%,17.6,4.07,23.40%,123.41,5.80%,5.94年,3.94年,9.10%,11.30%,8.8,-2.08%,-2.53%,-2.17%,-5.45%,-5.61%,87.68,90.43,42.71,133.14,-1.90%,42%,14%,16%,0.85,0.99,0.73,AA,4.30%,19
2,苏银转债,110053,2019-04-03,江苏银行,600919,金融,109.99,0.78%,-0.04%,7.36,1.52%,"2,532",11.60%,7.9,0.85,-6.80%,93.16,18.10%,5.94年,无权,23.50%,21.90%,200,1.41%,0.83%,1.30%,无权,无权,无权,95.06,21.85,116.92,-5.90%,25%,11%,18%,0.49,1.79,-0.67,AAA,4.00%,24
3,浙商转债,113022,2019-03-28,浙商证券,601878,金融,118.8,-0.64%,-1.31%,12.31,-3.15%,196,4.70%,12.53,3,-1.80%,98.24,20.90%,5.93年,无权,8.50%,8.40%,35,-1.31%,-1.61%,-1.37%,无权,无权,无权,87.52,26.01,113.53,4.60%,50%,26%,18%,0.62,-0.28,1.53,AAA,4.00%,27
4,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,126.5,-0.71%,-2.21%,47.98,-3.56%,147,11.60%,40.52,6.85,18.40%,118.41,6.80%,5.93年,3.93年,5.10%,6.00%,10,-1.14%,-1.67%,-1.25%,-4.76%,-4.92%,87.31,92.28,37.09,129.37,-2.20%,46%,13%,16%,0.82,0.93,0.72,AA,4.40%,18
5,视源转债,128059,2019-04-02,视源股份,2841,电子,120.91,-2.65%,1.81%,77.98,-1.14%,60,5.30%,76.25,15.03,2.30%,102.27,18.20%,5.93年,3.93年,1.80%,1.90%,9.4,-0.96%,-1.39%,-1.05%,-3.69%,-3.86%,86.76,88.38,26.8,115.17,5.00%,56%,24%,16%,0.74,-0.67,2.19,AA,4.50%,13
6,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,121.7,21.70%,0.00%,12.96,-0.31%,723,49.90%,11.99,1.91,8.10%,108.09,12.60%,5.92年,3.92年,7.60%,8.20%,12,-0.87%,-1.33%,-0.96%,-3.80%,-3.98%,87.79,90.68,31.11,121.8,-0.10%,44%,18%,17%,0.71,0.53,0.89,AA+,4.30%,13
7,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,115.303,-0.21%,-0.74%,10.05,-1.18%,69,10.40%,8.9,2.18,12.90%,112.92,2.10%,5.91年,3.91年,10.90%,12.30%,5.8,0.34%,-0.18%,0.24%,-2.50%,-2.69%,87.24,91.23,33.3,124.53,-7.40%,74%,<2%,16%,0.81,2,-0.26,AA-,4.50%,37
8,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,129.28,-0.48%,-0.13%,10.98,-0.72%,226,10.90%,8.13,2.65,35.10%,135.06,-4.30%,5.91年,3.91年,14.00%,18.90%,16,-1.42%,-1.96%,-1.53%,-5.18%,-5.36%,88.58,94.07,50.74,144.81,-10.70%,41%,<2%,16%,0.85,3.22,-1.16,AA+,4.10%,31
9,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,129.5,4.35%,-0.52%,17.23,4.49%,49,3.20%,13.62,5.37,26.50%,126.51,2.40%,5.91年,3.91年,6.30%,8.00%,12,-1.54%,-2.07%,-1.65%,-5.33%,-5.49%,87.61,92.7,43.58,136.28,-5.00%,52%,<2%,16%,0.85,1.67,0.11,AA,4.30%,16
10,中信转债,113021,2019-03-19,中信银行,601998,金融,108.97,-0.13%,0.87%,6.5,1.72%,526,1.20%,7.45,0.79,-12.80%,87.25,24.90%,5.91年,无权,12.60%,11.00%,400,1.55%,0.98%,1.44%,无权,无权,无权,95.02,17.12,112.14,-2.80%,23%,14%,17%,0.43,1.08,-0.15,AAA,4.00%,34
11,富祥转债,123020,2019-03-29,富祥股份,300497,医药,122.61,2.26%,1.66%,23.48,4.54%,78,15.20%,18.05,4.82,30.10%,130.08,-5.70%,5.90年,3.90年,8.00%,10.40%,4.2,-0.21%,-0.82%,-0.34%,-3.92%,-4.11%,88.06,94.77,46.31,141.08,-13.10%,64%,<2%,16%,0.86,3.63,-1.46,AA-,4.30%,34
12,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,113.66,0.30%,-0.73%,25.95,-0.57%,12,1.70%,24.18,2.82,7.30%,107.32,5.90%,5.90年,3.90年,13.70%,14.70%,6.3,0.67%,0.12%,0.56%,-2.08%,-2.29%,87.08,90.96,30.95,121.91,-6.80%,57%,<2%,17%,0.75,1.68,-0.09,AA-,4.60%,24
13,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,114.17,3.23%,0.64%,7.74,4.88%,52,12.70%,6.8,3.09,13.80%,113.82,0.30%,5.89年,3.89年,12.60%,14.40%,3.7,1.10%,0.47%,0.97%,-2.12%,-2.34%,87.4,93.72,33.99,127.71,-10.60%,72%,<2%,17%,0.79,2.62,-0.8,A+,4.60%,34
14,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,115.07,-0.08%,-0.05%,10.39,-0.19%,61,1.30%,10.29,1.69,1.00%,100.97,14.00%,5.89年,3.89年,12.40%,12.60%,39.7,-0.12%,-0.55%,-0.20%,-2.53%,-2.70%,87.55,89.47,25.14,114.61,0.40%,64%,18%,16%,0.68,0.38,0.98,AA+,4.30%,23
15,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,125.82,2.82%,0.65%,15.05,3.94%,315,27.70%,11.41,1.66,31.90%,131.9,-4.60%,5.89年,3.89年,16.90%,22.30%,9.1,-1.47%,-1.92%,-1.56%,-4.63%,-4.80%,88.05,90.9,49.93,140.83,-10.70%,31%,<2%,16%,0.88,3.12,-1.04,AA,4.20%,39
