,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N核建转,113024,今日上市,中国核建,601611,建筑,103,3.00%,0.00%,8.75,-1.02%,"1,107",35.90%,9.93,3.08,-11.90%,88.12,16.90%,5.95年,3.95年,13.00%,11.50%,30,1.11%,0.80%,1.05%,0.09%,-0.07%,88.08,87.35,16.04,103.39,-0.40%,42%,12%,16%,0.53,0.62,0.44,AAA,4.00%,34
2,未来转债,128063,2019-04-24,德尔未来,2631,其他,111.97,0.24%,-6.20%,9.87,-7.84%,122,17.50%,8.74,3.47,12.90%,112.93,-0.80%,5.94年,4.94年,9.60%,10.80%,6.3,2.43%,1.62%,2.27%,-0.47%,-0.81%,87.33,99.18,28.55,127.73,-12.30%,52%,<2%,16%,0.76,3.05,-1.19,AA-,4.60%,48
3,参林转债,113533,2019-04-24,大参林,603233,医药,105.7,-0.56%,0.53%,44.79,-0.04%,48,4.60%,48.05,6.33,-6.80%,93.22,13.40%,5.94年,3.94年,5.60%,5.20%,10,1.18%,0.77%,1.10%,-0.47%,-0.64%,86.11,86.72,19.71,106.43,-0.70%,46%,17%,16%,0.66,0.32,1,AA,4.70%,45
4,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.88,-1.20%,-0.98%,7.35,-3.29%,13,2.80%,7.8,2.26,-5.80%,94.23,8.10%,5.94年,3.94年,13.90%,13.10%,4.6,1.84%,1.42%,1.76%,0.46%,0.28%,86.23,86.84,21.15,108,-5.70%,50%,8%,17%,0.66,1.42,-0.02,AA,4.70%,30
5,亚药转债,128062,2019-04-24,亚太药业,2370,医药,104.98,-0.56%,-3.03%,16.29,-5.29%,65,6.40%,16.3,3.54,-0.10%,99.94,5.00%,5.94年,3.94年,11.00%,11.00%,9.7,2.33%,1.73%,2.21%,-0.32%,-0.49%,86.13,92.14,21.35,113.49,-7.50%,58%,<2%,16%,0.68,1.82,-0.34,AA,4.60%,61
6,百姓转债,113531,2019-04-22,老百姓,603883,医药,105.81,-0.37%,0.27%,55,-0.16%,8.2,2.40%,60.59,5.88,-9.20%,90.77,16.60%,4.92年,2.92年,2.10%,1.90%,3.3,1.28%,0.81%,1.19%,-1.28%,-1.39%,87.93,89.44,14.35,103.79,1.90%,37%,20%,16%,0.58,-0.21,1.38,AA,4.80%,25
7,精测转债,123025,2019-04-19,精测电子,300567,电子,110.12,-0.80%,-0.58%,75.5,-1.95%,8.3,2.00%,75.88,10.04,-0.50%,99.5,10.70%,5.92年,3.92年,3.00%,3.00%,3.8,1.17%,0.63%,1.06%,-1.37%,-1.56%,86.38,90.08,23.26,113.34,-2.80%,73%,13%,17%,0.71,0.72,0.7,AA-,4.70%,16
8,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109.401,-0.18%,-1.08%,27.91,-1.86%,34,3.00%,28.33,7.08,-1.50%,98.52,11.00%,5.92年,3.92年,4.20%,4.10%,10.5,1.35%,0.80%,1.24%,-1.29%,-1.47%,86.39,90.88,21.14,112.01,-2.30%,44%,12%,16%,0.68,0.67,0.69,AA,4.60%,19
9,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,100.02,0.02%,0.46%,14.08,1.00%,17,2.60%,16.88,4.14,-16.60%,83.41,19.90%,5.92年,3.92年,11.10%,9.30%,6.3,3.48%,2.82%,3.35%,0.95%,0.76%,85.17,91.69,11.42,103.11,-3.00%,54%,14%,16%,0.48,0.59,0.39,AA,5.00%,30
10,中装转债,128060,2019-04-15,中装建设,2822,建筑,101.4,-0.62%,-0.27%,5.9,-1.34%,18,3.40%,6.24,1.75,-5.40%,94.55,7.20%,5.92年,3.92年,14.80%,14.00%,5.3,1.93%,1.51%,1.84%,0.58%,0.40%,86.32,86.94,21.29,108.24,-6.30%,68%,9%,17%,0.67,1.58,-0.15,AA,4.70%,63
11,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,102.75,-1.49%,1.62%,23.74,0.21%,8.6,4.00%,24.9,3.78,-4.70%,95.34,7.80%,4.90年,2.90年,10.70%,10.20%,2.1,2.06%,1.55%,1.96%,-0.19%,-0.33%,87.93,89.4,19.24,108.64,-5.40%,66%,13%,18%,0.66,1.2,0.16,A+,5.00%,24
12,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,104.51,-1.13%,0.47%,7.39,-0.94%,19,3.00%,7.39,1.93,0.00%,100,4.50%,5.90年,4.90年,22.40%,22.40%,6,1.71%,1.23%,1.62%,0.21%,0.00%,84.39,88.86,24.95,113.81,-8.20%,41%,7%,18%,0.7,2.03,-0.48,AA,4.60%,43
13,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,108.01,-1.00%,0.73%,21.31,-0.42%,66,3.50%,21.79,3.45,-2.20%,97.8,10.40%,5.90年,3.90年,4.30%,4.20%,17.3,1.10%,0.64%,1.01%,-1.03%,-1.20%,87.25,89.9,21.01,110.91,-2.60%,46%,14%,16%,0.64,0.98,0.34,AA+,4.40%,36
14,通威转债,110054,2019-04-10,通威股份,600438,农业,118.61,-0.06%,-0.86%,14.23,-1.18%,47,0.80%,12.44,3.17,14.40%,114.39,3.70%,5.89年,3.89年,9.10%,10.40%,50,-0.44%,-0.91%,-0.54%,-3.20%,-3.38%,88.19,91.07,33.41,124.48,-4.70%,62%,<2%,16%,0.78,1.62,0.02,AA+,4.20%,16
15,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,107.6,0.00%,0.00%,5.99,0.00%,38,2.90%,6.38,3.1,-6.10%,93.89,14.60%,5.89年,3.89年,8.90%,8.40%,12.3,1.20%,0.73%,1.11%,-0.89%,-1.07%,86.34,88.46,19.24,107.7,-0.10%,79%,17%,16%,0.66,0.16,1.15,AA,4.70%,12
16,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,108.59,-7.35%,0.17%,17.64,-10.00%,253,25.70%,17.6,3.3,0.20%,100.23,8.30%,5.89年,3.89年,11.30%,11.30%,8.8,1.07%,0.60%,0.98%,-1.07%,-1.26%,86.97,89.29,23.34,112.62,-3.60%,42%,11%,16%,0.72,1.03,0.44,AA,4.60%,19
17,苏银转债,110053,2019-04-03,江苏银行,600919,金融,104.87,-0.45%,-0.08%,7.03,-1.13%,452,2.20%,7.9,0.92,-11.00%,88.99,17.80%,5.88年,无权,24.60%,21.90%,200,2.27%,1.68%,2.15%,无权,无权,无权,95.26,15.74,111,-5.50%,25%,12%,18%,0.47,1.7,-0.63,AAA,4.00%,55
18,浙商转债,113022,2019-03-28,浙商证券,601878,金融,109.5,-0.05%,-0.32%,10.73,-0.74%,117,3.00%,12.53,3.06,-14.40%,85.63,27.90%,5.88年,无权,9.80%,8.40%,35,0.08%,-0.24%,0.02%,无权,无权,无权,87.7,15.79,103.49,5.80%,50%,26%,18%,0.5,-0.61,1.62,AAA,4.00%,24
19,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,115.6,-1.82%,2.25%,46.55,0.54%,95,8.20%,40.52,5.49,14.90%,114.88,0.60%,5.87年,3.87年,5.20%,6.00%,10,0.40%,-0.14%,0.29%,-2.65%,-2.83%,87.4,92.33,32.66,124.99,-7.50%,46%,<2%,16%,0.8,2.11,-0.36,AA,4.40%,16
20,视源转债,128059,2019-04-02,视源股份,2841,电子,110,-0.09%,0.72%,72.17,0.94%,28,2.70%,76.25,14.69,-5.40%,94.65,16.20%,5.87年,3.87年,2.00%,1.90%,9.4,0.67%,0.22%,0.58%,-1.44%,-1.62%,86.48,87.87,20.06,107.93,1.90%,56%,21%,16%,0.67,-0.18,1.52,AA,4.70%,13
21,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,110,-1.79%,0.32%,11.7,-2.34%,34,2.60%,11.99,1.77,-2.40%,97.58,12.70%,5.87年,3.87年,8.40%,8.20%,12,0.88%,0.40%,0.79%,-1.39%,-1.58%,87.72,90.48,21.61,112.09,-1.90%,41%,16%,17%,0.63,0.81,0.47,AA+,4.40%,16
22,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,115.21,0.17%,0.20%,6.46,0.47%,22,3.40%,5.64,2.59,14.50%,114.54,0.60%,5.86年,3.86年,8.70%,10.00%,5.7,1.15%,0.48%,1.01%,-2.32%,-2.54%,88.2,95.82,30.96,126.78,-9.10%,59%,<2%,16%,0.77,2.44,-0.69,AA,4.50%,42
23,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,110.5,1.75%,2.24%,10.12,4.87%,93,14.80%,8.9,1.91,13.70%,113.71,-2.80%,5.86年,3.86年,10.80%,12.30%,5.8,1.09%,0.55%,0.98%,-1.49%,-1.68%,87.54,91.59,32.38,123.98,-10.90%,74%,<2%,16%,0.82,2.87,-0.95,AA-,4.50%,42
24,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,121.78,-1.37%,-0.08%,11.23,-1.66%,148,7.50%,8.13,1.96,38.10%,138.13,-11.80%,5.86年,3.86年,13.70%,18.90%,16,-0.40%,-0.96%,-0.51%,-3.81%,-4.00%,88.83,94.37,51.73,146.1,-16.60%,41%,<2%,16%,0.87,4.92,-2.35,AA+,4.10%,39
25,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,112.789,-1.24%,1.18%,15.05,-0.07%,32,2.30%,13.62,4.25,10.50%,110.5,2.10%,5.86年,3.86年,7.30%,8.00%,12,0.83%,0.28%,0.72%,-2.06%,-2.24%,87.27,92.1,29.3,121.4,-7.10%,50%,<2%,16%,0.77,1.94,-0.27,AA,4.50%,19
26,中信转债,113021,2019-03-19,中信银行,601998,金融,104.31,-0.80%,0.86%,6.28,0.16%,216,0.50%,7.45,0.91,-15.70%,84.3,23.70%,5.86年,无权,13.00%,11.00%,400,2.35%,1.76%,2.23%,无权,无权,无权,95.21,12.21,107.42,-2.90%,23%,15%,17%,0.4,1.03,-0.16,AAA,4.00%,46
27,富祥转债,123020,2019-03-29,富祥股份,300497,医药,116.7,0.43%,2.27%,21.87,3.21%,56,11.50%,18.05,3.71,21.20%,121.16,-3.70%,5.84年,3.84年,8.60%,10.40%,4.2,0.65%,0.03%,0.52%,-2.76%,-2.96%,88.08,94.7,36.71,131.41,-11.20%,64%,<2%,16%,0.84,3.01,-1.02,AA-,4.40%,42
28,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,103.89,0.02%,-3.32%,22.37,-5.13%,12,1.80%,24.18,2.63,-7.50%,92.51,12.30%,5.84年,3.84年,15.90%,14.70%,6.3,2.27%,1.70%,2.15%,0.13%,-0.08%,86.42,89.88,18.69,108.57,-4.30%,55%,7%,17%,0.64,0.89,0.43,AA-,4.90%,36
29,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,103.42,-0.10%,-0.41%,6.64,-0.75%,2.5,0.70%,6.8,2.66,-2.40%,97.65,5.90%,5.84年,3.84年,14.70%,14.40%,3.7,2.87%,2.22%,2.74%,0.33%,0.10%,86.52,92.27,21.14,113.41,-8.80%,71%,<2%,17%,0.68,1.85,-0.36,A+,5.00%,49
30,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,108.96,-1.50%,0.22%,10.27,-1.91%,92,2.10%,10.29,1.68,-0.20%,99.81,9.20%,5.84年,3.84年,12.60%,12.60%,39.7,0.84%,0.39%,0.75%,-1.21%,-1.39%,87.72,89.65,22.71,112.36,-3.00%,64%,13%,16%,0.67,1.1,0.29,AA+,4.30%,22
31,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,116.7,-0.17%,0.29%,13.74,0.15%,93,8.70%,11.41,1.23,20.40%,120.42,-3.10%,5.84年,3.84年,18.50%,22.30%,9.1,-0.18%,-0.65%,-0.27%,-2.86%,-3.05%,87.99,90.73,38.58,129.31,-9.70%,31%,<2%,16%,0.85,2.78,-0.83,AA,4.30%,45
32,中来转债,123019,2019-03-22,中来股份,300393,能源电力,102.225,-1.33%,1.54%,18.79,0.37%,19,1.90%,20.41,1.96,-7.90%,92.06,11.00%,5.83年,3.83年,22.10%,20.30%,10,3.57%,2.82%,3.42%,0.63%,0.40%,86.22,94.22,17.31,111.53,-8.30%,47%,10%,18%,0.57,1.75,-0.47,AA-,5.10%,55
33,中宠转债,128054,2019-03-14,中宠股份,2891,农业,106.136,-1.01%,-0.11%,32.48,-1.87%,0.9,0.50%,37.97,4.73,-14.50%,85.54,24.10%,5.81年,3.81年,6.00%,5.10%,1.9,1.51%,1.02%,1.41%,-0.53%,-0.72%,85.14,86.62,14.68,101.3,4.80%,48%,23%,16%,0.6,-1.06,2.33,A+,5.20%,18
34,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,114.911,-0.08%,0.22%,5.94,0.17%,30,3.50%,4.94,1.51,20.20%,120.24,-4.40%,5.80年,3.80年,17.90%,21.50%,7.5,0.06%,-0.41%,-0.03%,-2.55%,-2.73%,87.94,90.68,38.3,128.97,-10.90%,42%,<2%,16%,0.85,3.07,-1.06,AA,4.30%,66
35,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,108.16,-1.18%,0.74%,16.85,-0.59%,14,1.70%,14.96,1.12,12.60%,112.63,-4.00%,5.75年,3.75年,24.60%,27.70%,7.5,1.96%,1.33%,1.84%,-1.00%,-1.20%,87.71,94.14,31.35,125.49,-13.80%,39%,<2%,18%,0.75,3.6,-1.64,AA,4.50%,45
36,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,108.82,0.46%,1.44%,13.65,2.40%,9.7,2.30%,12.31,2.49,10.90%,110.89,-1.90%,5.74年,3.74年,13.40%,14.90%,3.9,0.37%,0.01%,0.30%,-1.26%,-1.43%,87.6,87.05,34.32,121.37,-10.30%,49%,<2%,18%,0.79,2.8,-0.95,AA,4.40%,18
37,平银转债,127010,2019-02-18,平安银行,1,金融,118.22,-2.30%,0.52%,13.79,-2.41%,350,1.10%,11.77,0.89,17.20%,117.16,0.90%,5.74年,无权,11.00%,12.90%,260,-0.03%,-0.58%,-0.14%,无权,无权,无权,94.74,34.43,129.18,-8.50%,30%,<2%,16%,0.74,2.67,-0.94,AAA,4.00%,58
38,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,135.55,-1.97%,-2.72%,9,-4.96%,35,5.00%,5.52,1.28,63.00%,163.04,-16.90%,5.72年,3.72年,8.70%,14.10%,5.1,-2.84%,-3.29%,-2.93%,-6.69%,-6.86%,88.9,91.98,77.01,168.99,-19.80%,44%,<2%,17%,0.95,5.98,-2.92,AA,4.10%,28
