,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,亚泰转债,128066,2019-05-14,亚泰国际,2811,建筑,98.861,0.56%,0.13%,14.89,1.22%,15,3.30%,17.49,2.22,-14.90%,85.13,16.10%,5月10天,5.92年,3.92年,17.90%,15.20%,4.8,3.10%,2.54%,2.99%,1.34%,1.13%,86.35,89.95,13.28,103.22,-4.20%,49%,12%,16%,0.57,0.58,0.57,AA-,4.80%,14
2,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,99.03,1.92%,-0.91%,5.55,1.83%,34,3.50%,6.5,2.98,-14.60%,85.38,16.00%,5月9天,5.92年,3.92年,14.10%,12.00%,9.8,2.65%,2.17%,2.55%,1.17%,0.98%,86.49,88.73,14.45,103.18,-4.00%,58%,12%,17%,0.56,0.71,0.42,AA,4.60%,27
3,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,96.037,0.75%,-0.09%,6.68,1.52%,49,6.50%,8.98,3.31,-25.60%,74.39,29.10%,5月9天,5.92年,3.92年,12.50%,9.30%,8,2.57%,2.20%,2.50%,1.94%,1.75%,85.48,84.24,9.73,93.97,2.20%,51%,20%,16%,0.43,-0.56,1.44,AA,4.90%,26
4,核能转债,113026,2019-05-08,中国核电,601985,能源电力,104.45,0.43%,0.05%,5.67,0.89%,208,2.60%,6.32,2.06,-10.30%,89.72,16.40%,5月6天,5.92年,3.92年,8.80%,7.90%,78,0.89%,0.57%,0.83%,-0.23%,-0.39%,89.23,88.91,15.45,104.36,0.10%,18%,16%,15%,0.55,0.42,0.68,AAA,3.70%,45
5,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,99.18,1.51%,-0.33%,9.96,2.05%,50,2.80%,11.49,1.12,-13.30%,86.68,14.40%,5月3天,5.91年,3.91年,31.30%,27.10%,18.4,2.66%,2.17%,2.57%,1.14%,0.96%,86.75,89.2,14.27,103.47,-4.10%,31%,11%,16%,0.58,0.76,0.41,AA,4.60%,45
6,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,97.34,0.70%,0.14%,16.23,1.82%,19,1.60%,20.8,2.6,-22.00%,78.03,24.70%,5月2天,5.90年,3.90年,18.00%,14.00%,12.5,2.97%,2.48%,2.87%,1.61%,1.42%,85.81,87.69,9.93,97.62,-0.30%,61%,17%,16%,0.46,-0.14,1.07,AA,4.80%,38
7,核建转债,113024,2019-04-26,中国核建,601611,建筑,103.96,-0.05%,0.59%,8.15,1.24%,75,2.40%,9.93,2.92,-17.90%,82.07,26.70%,5月1天,5.90年,3.90年,14.00%,11.50%,30,0.96%,0.64%,0.90%,-0.13%,-0.30%,89.01,88.61,11.81,100.42,3.50%,43%,23%,16%,0.44,-0.34,1.22,AAA,3.80%,54
8,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,101.114,1.22%,0.26%,5.68,2.34%,59,7.20%,6.25,1.26,-9.10%,90.88,11.30%,5月1天,5.90年,3.90年,19.60%,17.80%,8,2.29%,1.81%,2.20%,0.65%,0.47%,87.19,89.72,16.6,106.32,-4.90%,35%,11%,16%,0.63,0.99,0.31,AA,4.40%,36
9,未来转债,128063,2019-04-24,德尔未来,2631,其他,109.7,0.08%,5.52%,9.77,7.48%,284,41.10%,8.74,3.47,11.80%,111.78,-1.90%,4月28天,5.89年,4.89年,9.70%,10.80%,6.3,2.82%,2.00%,2.66%,-0.06%,-0.41%,88.98,101.33,26.36,127.69,-14.10%,52%,<2%,16%,0.75,3.35,-1.44,AA-,4.30%,63
10,参林转债,113533,2019-04-24,大参林,603233,医药,119.38,2.17%,2.72%,57.31,5.74%,60,5.10%,48.05,5.96,19.30%,119.27,0.10%,4月27天,5.89年,3.89年,4.40%,5.20%,10,-0.91%,-1.31%,-0.99%,-3.44%,-3.61%,89.04,90.9,37.32,128.21,-6.90%,46%,<2%,16%,0.85,2,-0.18,AA,3.90%,50
11,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,102.82,1.20%,-0.12%,7.22,1.69%,2.4,0.50%,7.8,2.26,-7.40%,92.56,11.10%,4月26天,5.88年,3.88年,14.20%,13.10%,4.6,1.69%,1.27%,1.61%,0.24%,0.05%,87.34,88.37,19.21,107.58,-4.40%,50%,12%,17%,0.64,0.95,0.36,AA,4.40%,31
12,亚药转债,128062,2019-04-24,亚太药业,2370,医药,107.74,1.00%,0.73%,16.96,2.42%,51,4.90%,16.3,3.4,4.00%,104.05,3.50%,4月25天,5.88年,3.88年,10.60%,11.00%,9.7,1.89%,1.29%,1.77%,-0.97%,-1.14%,87.78,94.59,22.8,117.39,-8.20%,59%,6%,16%,0.71,1.93,-0.37,AA,4.20%,71
13,现代转债,110057,2019-04-30,现代制药,600420,医药,107.89,0.76%,-0.02%,9.36,1.30%,31,1.80%,10.09,1.52,-7.20%,92.77,16.30%,4月25天,5.88年,3.88年,16.30%,15.20%,16.2,0.49%,0.14%,0.42%,-1.03%,-1.19%,89.39,89.89,17.63,107.52,0.30%,48%,18%,16%,0.57,0.4,0.74,AAA,3.70%,42
14,百姓转债,113531,2019-04-22,老百姓,603883,医药,114,1.69%,-0.87%,59.96,1.20%,5,1.40%,60.59,5.34,-1.00%,98.96,15.20%,4月24天,4.87年,2.87年,1.90%,1.90%,3.3,-0.26%,-0.72%,-0.35%,-3.70%,-3.81%,89.5,91.87,18.36,110.24,3.40%,36%,20%,16%,0.68,-0.48,1.86,AA,4.30%,28
15,精测转债,123025,2019-04-19,精测电子,300567,电子,109.94,1.31%,-0.29%,71.55,1.55%,1.8,0.40%,75.88,10.04,-5.70%,94.29,16.60%,4月25天,5.87年,3.87年,3.20%,3.00%,3.8,1.21%,0.67%,1.10%,-1.35%,-1.54%,87.28,91.34,19.08,110.42,-0.40%,73%,17%,17%,0.66,-0.06,1.38,AA-,4.50%,26
16,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,110.2,0.59%,-0.92%,25.7,-0.54%,6.4,0.60%,28.33,7.16,-9.30%,90.72,21.50%,4月25天,5.87年,3.87年,4.50%,4.10%,10.5,1.24%,0.69%,1.13%,-1.49%,-1.66%,87.04,91.76,15.38,107.14,2.90%,43%,19%,16%,0.6,-0.61,1.83,AA,4.50%,35
17,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,99.76,0.96%,1.38%,13.5,5.47%,9.1,1.50%,16.88,3.83,-20.00%,79.98,24.70%,4月19天,5.87年,3.87年,11.60%,9.30%,6.3,3.56%,2.89%,3.42%,1.03%,0.83%,85.75,92.48,9.45,101.94,-2.10%,54%,16%,16%,0.43,0.19,0.67,AA,4.90%,28
