,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,一心转债,128067,2019-05-17,一心堂,2727,医药,113.031,-0.59%,-0.31%,28.18,-1.26%,22,3.30%,27.28,3.95,3.30%,103.3,9.40%,5月0天,5.90年,3.90年,3.80%,3.90%,6,0.03%,-0.38%,-0.06%,-2.12%,-2.29%,85.2,85.35,30.02,115.37,-2.00%,37%,14%,16%,0.71,0.79,0.65,AA,5.00%,19
2,亚泰转债!,128066,2019-05-14,亚泰国际,2811,建筑,98.62,0.33%,2.96%,15.58,5.63%,3.9,0.80%,17.49,1.98,-10.90%,89.08,10.70%,4月28天,5.89年,3.89年,17.10%,15.20%,4.8,3.16%,2.60%,3.05%,1.41%,1.20%,82.61,84.35,21.91,106.25,-7.20%,49%,11%,16%,0.58,1.47,-0.21,AA-,6.00%,20
3,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,97.24,0.07%,1.24%,5.23,2.95%,8.6,0.90%,6.5,2.4,-19.50%,80.46,20.90%,4月27天,5.89年,3.89年,15.00%,12.00%,9.8,2.99%,2.50%,2.89%,1.64%,1.45%,85.33,86.98,14.38,101.36,-4.10%,58%,14%,17%,0.44,0.9,0.03,AA,5.00%,36
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.1,0.07%,0.86%,6.55,2.66%,14,1.90%,8.98,2.41,-27.10%,72.94,30.40%,4月27天,5.89年,3.89年,12.70%,9.30%,8,2.76%,2.39%,2.69%,2.20%,2.01%,85.33,83.98,10.63,94.6,0.50%,50%,19%,16%,0.35,-0.05,0.75,AA,5.00%,29
5,创维转债!,127013,2019-05-16,创维数字,810,电子,99.881,-0.01%,1.35%,9.39,3.19%,16,1.50%,11.56,3.2,-18.80%,81.23,23.00%,4月24天,5.89年,3.89年,10.30%,8.40%,10.4,2.97%,2.40%,2.86%,0.96%,0.78%,85.35,89.24,13,102.24,-2.30%,47%,15%,16%,0.42,0.54,0.32,AA,5.00%,41
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,104.04,0.08%,0.80%,5.71,1.60%,95,1.20%,6.32,1.86,-9.70%,90.35,15.20%,4月24天,5.89年,3.89年,8.80%,7.90%,78,0.97%,0.65%,0.90%,-0.13%,-0.30%,88.4,87.67,17.11,104.78,-0.70%,18%,16%,15%,0.55,0.59,0.53,AAA,4.00%,52
7,明泰转债!,113025,2019-05-07,明泰铝业,601677,有色金属,99.1,0.01%,1.40%,10.17,2.62%,21,1.20%,11.49,0.99,-11.50%,88.51,12.00%,4月21天,5.87年,3.87年,30.70%,27.10%,18.4,2.69%,2.20%,2.59%,1.17%,0.98%,85.43,87.2,18.39,105.6,-6.20%,31%,11%,16%,0.54,1.5,-0.32,AA,5.00%,48
8,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,96.25,0.10%,1.13%,16.09,3.14%,6.5,0.50%,20.8,2.01,-22.60%,77.36,24.40%,4月20天,5.87年,3.87年,18.10%,14.00%,12.5,3.18%,2.69%,3.09%,1.91%,1.72%,85.41,87.06,11.73,98.79,-2.60%,60%,15%,16%,0.39,0.56,0.25,AA,5.00%,42
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,102.22,-0.21%,1.39%,7.74,3.06%,13,0.40%,9.93,2.28,-22.10%,77.95,31.10%,4月19天,5.87年,3.87年,14.70%,11.50%,30,1.26%,0.94%,1.20%,0.29%,0.12%,88.37,87.64,10.71,98.35,3.90%,43%,25%,16%,0.39,-0.46,1.25,AAA,4.00%,53
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,99.993,-0.23%,1.23%,5.55,1.83%,13,1.60%,6.25,1.12,-11.20%,88.8,12.60%,4月19天,5.87年,3.87年,20.10%,17.80%,8,2.50%,2.02%,2.41%,0.94%,0.75%,85.43,87.07,18.57,105.64,-5.30%,35%,12%,16%,0.54,1.32,-0.15,AA,5.00%,44
11,未来转债,128063,2019-04-24,德尔未来,2631,其他,107.621,0.33%,1.11%,9.39,2.07%,17,2.60%,8.68,3.72,8.20%,108.18,-0.50%,4月16天,5.85年,4.85年,10.00%,10.90%,6.3,3.18%,2.35%,3.02%,0.33%,-0.02%,82.13,92.32,32.66,124.97,-13.90%,52%,<2%,16%,0.69,3.35,-1.54,AA-,6.00%,65
12,参林转债,113533,2019-04-24,大参林,603233,医药,117.72,0.14%,0.75%,56.51,1.09%,14,1.20%,48.05,7.01,17.60%,117.61,0.10%,4月15天,5.85年,3.85年,4.40%,5.20%,10,-0.68%,-1.08%,-0.76%,-3.13%,-3.30%,85.39,85.53,41.46,126.99,-7.30%,46%,<2%,16%,0.81,2.19,-0.41,AA,5.00%,51
13,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.04,0.29%,1.39%,6.98,2.95%,1.4,0.30%,7.8,2.02,-10.50%,89.49,12.90%,4月14天,5.85年,3.85年,14.60%,13.10%,4.6,2.01%,1.59%,1.93%,0.68%,0.49%,85.49,85.64,20.63,106.27,-4.90%,50%,13%,17%,0.57,1.22,-0.02,AA,5.00%,30
14,亚药转债,128062,2019-04-24,亚太药业,2370,医药,107.002,1.24%,3.00%,17.84,6.00%,67,6.50%,16.3,3.73,9.40%,109.45,-2.20%,4月13天,5.85年,3.85年,10.10%,11.00%,9.7,2.03%,1.42%,1.91%,-0.81%,-0.98%,85.31,90.71,31.36,122.07,-12.30%,59%,<2%,16%,0.71,3.22,-1.42,AA,5.00%,69
15,现代转债,110057,2019-04-30,现代制药,600420,医药,106.66,0.06%,0.72%,9.19,1.43%,10,0.60%,10.09,1.39,-8.90%,91.08,17.10%,4月13天,5.85年,3.85年,16.60%,15.20%,16.2,0.70%,0.34%,0.63%,-0.75%,-0.92%,88.53,88.6,17.86,106.46,0.20%,48%,18%,16%,0.54,0.4,0.7,AAA,4.00%,40
16,百姓转债,113531,2019-04-22,老百姓,603883,医药,111.04,-0.41%,0.42%,60.56,0.02%,2,0.50%,60.59,5.34,0.00%,99.95,11.10%,4月12天,4.84年,2.84年,1.90%,1.90%,3.3,0.29%,-0.18%,0.20%,-2.90%,-3.00%,87.86,89.11,22.33,111.44,-0.40%,36%,17%,16%,0.64,0.43,0.85,AA,5.00%,24
17,精测转债,123025,2019-04-19,精测电子,300567,电子,107.623,0.21%,3.86%,65.83,7.44%,3.1,0.80%,75.88,8.71,-13.20%,86.76,24.10%,4月13天,5.84年,3.84年,3.50%,3.00%,3.8,1.59%,1.04%,1.48%,-0.83%,-1.03%,82.69,84.43,20.93,105.36,2.10%,72%,26%,17%,0.55,-0.54,1.65,AA-,6.00%,27
18,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,108.65,0.21%,1.80%,24.76,4.08%,4.3,0.40%,28.33,6.26,-12.60%,87.4,24.30%,4月13天,5.83年,3.83年,4.70%,4.10%,10.5,1.50%,0.94%,1.38%,-1.15%,-1.33%,85.56,89.47,16.61,106.07,2.40%,42%,23%,16%,0.49,-0.38,1.37,AA,5.00%,37
19,大丰转债!,113530,2019-04-18,大丰实业,603081,建筑,97.78,0.16%,0.67%,12.4,2.90%,2.7,0.40%,16.88,2.81,-26.50%,73.46,33.10%,4月7天,5.83年,3.83年,12.60%,9.30%,6.3,3.94%,3.26%,3.81%,1.55%,1.35%,85.66,92.28,8.2,100.47,-2.70%,54%,14%,16%,0.29,0.54,0.06,AA,5.00%,28
